Level,Defense mechanism,#,Film,Year,Director,Character,Actor,IMDb,Quote,Region
Narcissistic / Disavowal,Devaluation,5,Mommie Dearest,1981,Frank Perry,Joan Crawford,Faye Dunaway,tt0082766,"""No... wire... hangers. What's wire hangers doing in this closet when I told you: no wire hangers EVER?"" — Joan Crawford",
Narcissistic / Disavowal,Devaluation,6,Phantom Thread,2017,Paul Thomas Anderson,Reynolds Woodcock,Daniel Day-Lewis,tt5776858,"""As I think you know, Alma, I prefer my asparagus with oil and salt. And knowing this, you've prepared the asparagus with butter. Now, I can imagine in certain circumstances being able to pretend that I like it made this way. Right now, I'm just admiring my own gallantry for eating it the way you've prepared it."" — Reynolds Woodcock",
Narcissistic / Disavowal,Devaluation,7,August: Osage County,2013,John Wells,Violet Weston,Meryl Streep,tt1322269,"""Let's all be 'truthsome'"" — Violet Weston *(paraphrase from the film's truth-telling dinner sequence; verbatim ""truth tellin'"" tirade is well documented in the play but not on IMDb Quotes for the film)*",
Narcissistic / Disavowal,Devaluation,8,Tár,2022,Todd Field,Lydia Tár,Cate Blanchett,tt14444726,"""If Bach's talent can be reduced to his gender, birth country, religion, sexuality, and so on, then so can yours."" — Lydia Tár *(paraphrase, public Juilliard scene; verbatim transcript widely reproduced in coverage)*",
Narcissistic / Disavowal,Devaluation,9,Sunset Boulevard,1950,Billy Wilder,Norma Desmond,Gloria Swanson,tt0043014,"""I *am* big. It's the *pictures* that got small."" — Norma Desmond",
Narcissistic / Disavowal,Devaluation,10,The Bridge on the River Kwai,1957,David Lean,Colonel Saito,Sessue Hayakawa,tt0050212,"""I hate the British! You are defeated but you have no shame. You are stubborn but you have no pride. You endure but you have no courage."" — Colonel Saito",
Narcissistic / Disavowal,Devaluation,11,The Celebration / Festen,1998,Thomas Vinterberg,Helge Klingenfeldt,Henning Moritzen,tt0154420,"""That's all you were good for."" — Helge *(paraphrase of the verbatim Danish line ""Det var det eneste, I duede til,"" widely cited in Festen criticism)*",
Narcissistic / Disavowal,Devaluation,12,The Master,2012,Paul Thomas Anderson,Lancaster Dodd,Philip Seymour Hoffman,tt1560747,"""Pig fuck!"" — Lancaster Dodd",
Narcissistic / Disavowal,Devaluation,13,Anatomy of a Fall,2023,Justine Triet,Sandra Voyter,Sandra Hüller,tt17009710,"""You're not a victim of me. You're a victim of your *ambition*."" — Sandra Voyter *(paraphrase; verbatim phrasing varies between French and English court-recording subtitles)*",
Narcissistic / Disavowal,Devaluation,14,Burnt by the Sun / Утомлённые солнцем,1994,Nikita Mikhalkov,Mitya / Dmitri,Oleg Menshikov,tt0111579,"""You are nothing now."" — Mitya *(paraphrase; the Russian dialogue is closely tracked in Mitchell, ""Fire and Water Imagery in Mikhalkov's *Burnt by the Sun*"")*",
Narcissistic / Disavowal,Devaluation,15,Force Majeure / Turist,2014,Ruben Östlund,Tomas,Johannes Bah Kuhnke,tt3630276,"""I'm a victim too! I'm a victim of my own bloody instincts!"" — Tomas",
Narcissistic / Disavowal,Devaluation,K1,Parasite / 기생충,2019,Bong Joon-ho,Park Dong-ik / 박동익,Lee Sun-kyun / 이선균,tt6751668,"""근데 그 냄새가 선을 넘지."" / ""But that smell crosses the line. It powers through right into the back seat."" — 박동익 (Park Dong-ik)",Korean
Narcissistic / Disavowal,Devaluation,K2,The Housemaid / 하녀,1960,Kim Ki-young,Mrs. Kim / 김부인,Ju Jeung-nyeo / 주증녀,tt0150980,"""남자들은 정말 바보야. 식모한테 마음을 주다니!"" / ""Men are such fools. Taking interest in a maid!"" — 김부인 (Mrs. Kim)",Korean
Narcissistic / Disavowal,Idealization,1,Vertigo,1958,Alfred Hitchcock,"John ""Scottie"" Ferguson",James Stewart,tt0052357,"""Judy, please, it can't matter to you."" — Scottie Ferguson (insisting on changing the color of her hair)",
Narcissistic / Disavowal,Idealization,2,(500) Days of Summer,2009,Marc Webb,Tom Hansen,Joseph Gordon-Levitt,tt1022603,"""I love her smile. I love her hair. I love her knees. I love how she licks her lips before she talks. I love her heart-shaped birthmark on her neck. I love it when she sleeps."" — Tom Hansen",
Narcissistic / Disavowal,Idealization,3,The Great Gatsby,2013,Baz Luhrmann,Jay Gatsby,Leonardo DiCaprio,tt1343092,"""Can't repeat the past?"" — Jay Gatsby",
Narcissistic / Disavowal,Idealization,4,La La Land,2016,Damien Chazelle,Sebastian Wilder,Ryan Gosling,tt3783958,"""I'm always gonna love you."" — Sebastian Wilder (and Mia in reply)",
Narcissistic / Disavowal,Idealization,5,Lost in Translation,2003,Sofia Coppola,Bob Harris (Bill Murray) / Charlotte,Scarlett Johansson,tt0335266,"""I'm stuck. Does it get easier? […] No. Yes. It gets easier."" — Bob Harris *(verbatim from the film, hotel-bar exchange about marriage; widely transcribed)*",
Narcissistic / Disavowal,Idealization,6,The Phantom of the Opera,2004,Joel Schumacher,The Phantom / Erik,Gerard Butler,tt0293508,"""You alone can make my song take flight."" — The Phantom *(from the film's ""Music of the Night"")*",
Narcissistic / Disavowal,Idealization,7,Punch-Drunk Love,2002,Paul Thomas Anderson,Barry Egan,Adam Sandler,tt0272338,"""I have a love in my life. It makes me stronger than anything you can imagine."" — Barry Egan",
Narcissistic / Disavowal,Idealization,8,Her,2013,Spike Jonze,Theodore Twombly,Joaquin Phoenix,tt1798709,"""I've never loved anyone the way I love you."" — Theodore (and Samantha responds, ""Me too. Now we know how."")",
Narcissistic / Disavowal,Idealization,9,Cinema Paradiso / Nuovo Cinema Paradiso,1988,Giuseppe Tornatore,"Salvatore ""Totò""",Marco Leonardi / Jacques Perrin,tt0095765,"""Get out of here! Go back to Rome. Whatever you do, love it, the way you loved the projection booth when you were a little squirt."" — Alfredo (the line that immortalizes Elena as Totò's untouchable past)",
Narcissistic / Disavowal,Idealization,10,In the Mood for Love / 花樣年華,2000,Wong Kar-wai,Chow Mo-wan (Tony Leung) and Su Li-zhen,Maggie Cheung,tt0118694,"""It is a restless moment. She has kept her head lowered, to give him a chance to come closer. But he could not, for lack of courage. She turns and walks away."" — closing intertitle",
Narcissistic / Disavowal,Idealization,11,Amélie / Le Fabuleux destin d'Amélie Poulain,2001,Jean-Pierre Jeunet,Amélie Poulain,Audrey Tautou,tt0211915,"""If you let this chance pass, eventually, your heart will become as dry and brittle as my skeleton."" — Dufayel (the line that names Amélie's idealized avoidance)",
Narcissistic / Disavowal,Idealization,12,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,Joel Barish,Jim Carrey,tt0338013,"""Please let me keep this memory, just this one."" — Joel Barish",
Narcissistic / Disavowal,Idealization,13,Annie Hall,1977,Woody Allen,Alvy Singer,Woody Allen,tt0075686,"""I thought, my God, you know how you're always tryin' to get things to come out perfect in art because, uh, it's real difficult in life."" — Alvy Singer",
Narcissistic / Disavowal,Idealization,14,Call Me by Your Name,2017,Luca Guadagnino,Elio Perlman,Timothée Chalamet,tt5726616,"""Call me by your name and I'll call you by mine."" — Oliver (the line that fuses identity with idealization)",
Narcissistic / Disavowal,Idealization,15,Y Tu Mamá También,2001,Alfonso Cuarón,Tenoch Iturbide (Diego Luna) and Julio Zapata,Gael García Bernal,tt0245574,"""La vida es como la espuma, así que dale a la mar."" — Luisa *(verbatim, ""Life is like the surf, so give yourselves to the sea"")*",
Narcissistic / Disavowal,Idealization,K1,Decision to Leave / 헤어질 결심,2022,Park Chan-wook,Detective Jang Hae-jun / 장해준,Park Hae-il / 박해일,tt12477480,"""내가 품위 있댔죠? 품위가 어디에서 나오는지 알아요? 자부심이에요. 난 자부심 있는 경찰이었어요. 그런데 여자에 미쳐서… 수사를 망쳤죠. 나는요… 완전히 붕괴됐어요."" / ""You said I had dignity? Do you know where dignity comes from? Pride. I was a proud cop. But I went mad over a woman… and I ruined the investigation. I am… completely shattered."" — 해준 (Hae-jun)",Korean
Narcissistic / Disavowal,Idealization,K2,Christmas in August / 8월의 크리스마스,1998,Hur Jin-ho,Jung-won / 정원,Han Suk-kyu / 한석규,tt0140825,"""내 기억 속에서 무수히 잊혀져 간 사람들처럼, 당신도 추억이 될 것이 두려웠습니다. 그러나 사랑을 간직한 채 떠날 수 있게 해 준 당신께 감사드립니다."" / ""Like the countless people who have been forgotten in my memory, I was afraid you too would become only a memory. But thank you for letting me leave still holding the love."" — 정원's voice-over letter to 다림",Korean
Narcissistic / Disavowal,Idealization,K3,Bungee Jumping of Their Own / 번지점프를 하다,2001,Kim Dae-seung,Seo In-woo / 서인우,Lee Byung-hun / 이병헌,tt0276818,"""사람이 죽으면 어디로 가는지 알아? 사랑하는 사람의 가슴 속으로 간대."" / ""Do you know where people go when they die? They say they go into the heart of the person who loved them."" — 인우 (In-woo)",Korean
Narcissistic / Disavowal,Omnipotence,1,Citizen Kane,1941,Orson Welles,Charles Foster Kane,Orson Welles,tt0033467,"""Dear Wheeler: you provide the prose poems. I'll provide the war."" — Charles Foster Kane",
Narcissistic / Disavowal,Omnipotence,2,The Wolf of Wall Street,2013,Martin Scorsese,Jordan Belfort,Leonardo DiCaprio,tt0993846,"""This right here is the land of opportunity. This is America. This is my home! The show goes on! […] They're gonna need to send in the National Guard to take me out, cos I ain't going nowhere!"" — Jordan Belfort",
Narcissistic / Disavowal,Omnipotence,4,Scarface,1983,Brian De Palma,"Antonio ""Tony"" Montana",Al Pacino,tt0086250,"""The world is yours, chico."" — Tony Montana (recurring motif and dirigible message)",
Narcissistic / Disavowal,Omnipotence,6,There Will Be Blood,2007,Paul Thomas Anderson,Daniel Plainview,Daniel Day-Lewis,tt0469494,"""If you have a milkshake, and I have a milkshake, and I have a straw. There it is, that's a straw, you see? Watch it. Now, my straw reaches acroooooooss the room and starts to drink your milkshake. I... drink... your... milkshake! I drink it up!"" — Daniel Plainview",
Narcissistic / Disavowal,Omnipotence,7,"Aguirre, the Wrath of God / Aguirre, der Zorn Gottes",1972,Werner Herzog,Don Lope de Aguirre,Klaus Kinski,tt0068182,"""If I, Aguirre, want the birds to drop dead from the trees, then the birds will drop dead from the trees. I am the Wrath of God."" — Don Lope de Aguirre",
Narcissistic / Disavowal,Omnipotence,8,Apocalypse Now,1979,Francis Ford Coppola,Colonel Walter E. Kurtz,Marlon Brando,tt0078788,"""You have no right to call me a murderer, you have a right to kill me. You have a right to do that. But you have no right to judge me. […] If I had 10 divisions of those men, then our troubles would be over here very quickly."" — Colonel Kurtz",
Narcissistic / Disavowal,Omnipotence,10,Network,1976,Sidney Lumet,Howard Beale,Peter Finch,tt0074958,"""I'm as mad as hell, and I'm not going to take this anymore!"" — Howard Beale",
Narcissistic / Disavowal,Omnipotence,12,The Last King of Scotland,2006,Kevin Macdonald,Idi Amin,Forest Whitaker,tt0455590,"""I am the father of Africa."" — Idi Amin",
Narcissistic / Disavowal,Omnipotence,13,Downfall / Der Untergang,2004,Oliver Hirschbiegel,Adolf Hitler,Bruno Ganz,tt0363163,"""Steiner's assault was an order!"" — Adolf Hitler (the bunker map-room scene)",
Narcissistic / Disavowal,Omnipotence,14,The Fountainhead,1949,King Vidor,Howard Roark,Gary Cooper,tt0041386,"""I came here to say that I do not recognize anyone's right to one minute of my life. Nor to any part of my energy. Nor to any achievement of mine. No matter who makes the claim, how large their number or how great their need."" — Howard Roark",
Narcissistic / Disavowal,Omnipotence,15,The Devil's Advocate,1997,Taylor Hackford,John Milton,Al Pacino,tt0118971,"""Vanity, definitely my favorite sin."" — John Milton",
Narcissistic / Disavowal,Omnipotence,K1,*New World* / 신세계,2013,,정청 Jung Chung (Hwang Jung-min / 황정민) and 이중구 Lee Joong-gu,Park Sung-woong / 박성웅,,"""거 죽기 딱 좋은 날씨네."" / ""It's a perfect day to die."" — 정청 (Jung Chung) ; and ""살려는 드릴게."" / ""I'll let you live."" — 이자성 to 이중구 in the elevator",Korean
Narcissistic / Disavowal,Omnipotence,K2,*Inside Men* / 내부자들,2015,,,,,"""어차피 대중들은 개, 돼지입니다. 거 뭐 하러 개, 돼지들한테 신경을 쓰시고 그러십니까? 적당히 짖어대다가 알아서 조용해질 겁니다."" / ""The masses are dogs and pigs anyway. Why bother caring what dogs and pigs think? They'll bark for a while and quiet down on their own."" — 이강희 (Lee Kang-hee)",Korean
Narcissistic / Disavowal,Omnipotence,K3,*A Dirty Carnival* / 비열한 거리,2006,,황 회장 Chairman Hwang (Cheon Ho-jin / 천호진) and 병두 Byung-doo,Jo In-sung / 조인성,,"""병두야, 세상에서 성공하려면 딱 두 가지만 알면 돼. 자기한테 필요한 사람이 누군지, 그리고 그 사람이 뭘 필요로 하는지."" / ""Byung-doo, to succeed in this world you only need to know two things — who is useful to you, and what that person needs."" — 황 회장 (Chairman Hwang)",Korean
Narcissistic / Disavowal,Denial,1,Manchester by the Sea,2016,Kenneth Lonergan,Lee Chandler,Casey Affleck,tt4034228,"""You don't understand, there's nothin'... there's nothin' there. There's nothin' there."" — Lee Chandler",
Narcissistic / Disavowal,Denial,2,Ordinary People,1980,Robert Redford,Beth Jarrett,Mary Tyler Moore,tt0081283,"""I don't want to see any doctors or counselors. I'm me! This is *my* family. And if we have problems we will solve those problems in the privacy of our own home, not by running to some kind of specialist every time something goes wrong."" — Beth Jarrett",
Narcissistic / Disavowal,Denial,3,The Father,2020,Florian Zeller,Anthony,Anthony Hopkins,tt10272386,"""I don't need any help from anyone. And I'm not going to leave my flat. All I want is for everyone to fuck off."" — Anthony",
Narcissistic / Disavowal,Denial,4,Leaving Las Vegas,1995,Mike Figgis,Ben Sanderson,Nicolas Cage,tt0113627,"""Sera... what you don't understand is — no, see, no. You can never, never ask me to stop drinking. Do you understand?"" — Ben Sanderson",
Narcissistic / Disavowal,Denial,5,The Lost Weekend,1945,Billy Wilder,Don Birnam,Ray Milland,tt0037884,"""I'm not a minor, Mr. Brophy, and just to ease your conscience, I'm buying these to refill my cigarette lighter."" — Don Birnam",
Narcissistic / Disavowal,Denial,6,Still Alice,2014,Richard Glatzer & Wash Westmoreland,Dr. John Howland,Alec Baldwin,tt3316960,"""I think it's ridiculous, I think it's bullshit, and I..."" — Dr. John Howland",
Narcissistic / Disavowal,Denial,7,Requiem for a Dream,2000,Darren Aronofsky,Sara Goldfarb,Ellen Burstyn,tt0180093,"(paraphrase) Sara repeatedly insists ""I'm gonna be on television"" and refuses her son Harry's pleas to stop the pills. (No verbatim line on this point is published on the IMDb /quotes/ page.)",
Narcissistic / Disavowal,Denial,8,Melancholia,2011,Lars von Trier,John,Kiefer Sutherland,tt1527186,"""Tomorrow evening Melancholia will pass us by and you'll never have to see it again, okay?"" — John",
Narcissistic / Disavowal,Denial,9,Amour,2012,Michael Haneke,Georges Laurent,Jean-Louis Trintignant,tt1602620,"""But things are getting better every day."" — Georges",
Narcissistic / Disavowal,Denial,10,A Separation,2011,Asghar Farhadi,Nader,Payman Maadi,tt1832382,"""Look, I did know she was pregnant, but in that moment I didn't, I had forgotten. This matter was not on my mind at all."" — Nader",
Narcissistic / Disavowal,Denial,11,Caché (Hidden),2005,Michael Haneke,Georges Laurent,Daniel Auteuil,tt0387898,"(paraphrase) Georges insists ""I have nothing to reproach myself for"" and tells his wife he found no one at the apartment — both lies the film exposes. (Verbatim quotes from this scene are not present on the IMDb /quotes/ page.)",
Narcissistic / Disavowal,Denial,12,The Hunt (Jagten),2012,Thomas Vinterberg,,,tt2106476,"(paraphrase) Theo tells Lucas the village must believe Klara because ""children don't lie"" — a creed that survives all later disconfirmation. (No verbatim line on this point is published on IMDb /quotes/.)",
Narcissistic / Disavowal,Denial,13,Volver,2006,Pedro Almodóvar,Raimunda,Penélope Cruz,tt0441909,"""Are there things I should know and don't?"" — Raimunda / ""Oodles."" — Sole",
Narcissistic / Disavowal,Denial,14,Shame,2011,Steve McQueen,Brandon Sullivan,Michael Fassbender,tt1723811,"""How are you helping me, huh? […] You're a burden. You're just dragging me down. […] Stop playing the victim."" — Brandon Sullivan",
Narcissistic / Disavowal,Denial,15,Pan's Labyrinth (El laberinto del fauno),2006,Guillermo del Toro,Ofelia,Ivana Baquero,tt0457430,"(paraphrase) Ofelia narrates the fairy tale to her unborn brother — ""A long time ago, in the underground realm…"" — and addresses the Faun rather than her dying mother. (No verbatim quote published on IMDb /quotes/ tied to denial of trauma.)",
Narcissistic / Disavowal,Denial,K1,*Secret Sunshine* / 밀양,2007,,신애 Shin-ae,Jeon Do-yeon / 전도연,,"""내가 아직 그를 용서한다는 말을 하지도 않았는데, 그는 하나님으로부터 이미 용서받았다고 합디다. 어떻게 그럴 수가 있어요? 내가 용서를 안 했는데, 어떻게 하나님이 먼저 그를 용서할 수가 있느냐고요!"" / ""I hadn't even said I forgave him, and he told me God had already forgiven him. How can that be? I haven't forgiven him — how can God forgive him before I do?"" — 신애 (Shin-ae)",Korean
Narcissistic / Disavowal,Denial,K2,*Mother* / 마더,2009,,어머니 Mother / Hye-ja,Kim Hye-ja / 김혜자,,"""우리 아들은 그런 짓 할 애가 아니에요."" / ""My son is not the kind of boy who would do that."" — 어머니 (Mother) ; and the closing line, ""너, 나쁜 기억 있으면 풀어버리는 침자리 있다 했지."" / ""I told you there's an acupuncture point that can release bad memories, didn't I.""",Korean
Narcissistic / Disavowal,Denial,K3,*Peppermint Candy* / 박하사탕,1999,,영호 Yong-ho,Sol Kyung-gu / 설경구,,"""나 다시 돌아갈래!"" / ""I want to go back!"" — 영호 (Yong-ho), screaming at the train",Korean
Narcissistic / Disavowal,Projection,1,Carrie,1976,Brian De Palma,Margaret White,Piper Laurie,tt0074285,"""I can see your dirty pillows. Everyone will."" — Margaret White",
Narcissistic / Disavowal,Projection,2,Black Swan,2010,Darren Aronofsky,Nina Sayers,Natalie Portman,tt0947798,"""No, this is different. She's after me. She's trying to replace me!"" — Nina",
Narcissistic / Disavowal,Projection,3,Taxi Driver,1976,Martin Scorsese,Travis Bickle,Robert De Niro,tt0075314,"""All the animals come out at night: whores, skunk pussies, buggers, queens, fairies, dopers, junkies... sick, venal. Someday a real rain will come and wash all this scum off the streets."" — Travis Bickle",
Narcissistic / Disavowal,Projection,4,American History X,1998,Tony Kaye,Derek Vinyard,Edward Norton,tt0120586,"""Decent hard-working Americans like my dad are getting rubbed out by social parasites. […] Blacks, Browns, Yellow whatever."" — Derek Vinyard",
Narcissistic / Disavowal,Projection,5,12 Angry Men,1957,Sidney Lumet,Juror #3,Lee J. Cobb,tt0050083,"""When he was sixteen, we had a fight. Hit me in the jaw — a big kid. Haven't seen him for two years. Kids... work your heart out…"" — Juror #3",
Narcissistic / Disavowal,Projection,6,Gone Girl,2014,David Fincher,Amy Dunne,Rosamund Pike,tt2267998,"""What scared me wasn't that he'd pushed me. What scared me was how much he wanted to hurt me more. […] I am frightened of my own husband."" — Amy Dunne (V.O., diary fabrication)",
Narcissistic / Disavowal,Projection,7,The Godfather Part II,1974,Francis Ford Coppola,Michael Corleone,Al Pacino,tt0071562,"""I don't feel I have to wipe everybody out, Tom. Just my enemies."" — Michael Corleone",
Narcissistic / Disavowal,Projection,8,Persona,1966,Ingmar Bergman,Sister Alma,Bibi Andersson,tt0060827,"""I wonder whether your madness isn't the worst kind. You act healthy, act it so well that everyone believes you — everyone except me, because I know how rotten you are."" — Sister Alma",
Narcissistic / Disavowal,Projection,9,The Piano Teacher (La Pianiste),2001,Michael Haneke,Erika Kohut,Isabelle Huppert,tt0254686,"""I don't have feelings. And if I ever did, they would not defeat my intelligence!"" — Erika Kohut",
Narcissistic / Disavowal,Projection,10,Caché (Hidden),2005,Michael Haneke,Georges Laurent,Daniel Auteuil,tt0387898,"(paraphrase) Georges insists to his wife and his employer that ""this man"" — Majid — is trying to ruin him, and that he himself has nothing to feel guilty about. (No verbatim line on this exchange is published on the IMDb /quotes/ page.)",
Narcissistic / Disavowal,Projection,11,Cure (Kyua),1997,Kiyoshi Kurosawa,Detective Takabe (Kōji Yakusho) and the hypnotist Mamiya,Masato Hagiwara,tt0119642,"(paraphrase) Mamiya tells subjects, ""I used to exist inside myself, but now I'm only on the outside — that's why I can see what's inside of you,"" and asks each interlocutor ""who are you?"" until they enact a buried wish to kill. (No verbatim line published on IMDb /quotes/.)",
Narcissistic / Disavowal,Projection,12,Othello,1995,Oliver Parker,Iago,Kenneth Branagh,tt0114057,"(paraphrase, from Shakespeare) ""O, beware, my lord, of jealousy; / It is the green-eyed monster which doth mock / The meat it feeds on."" — Iago to Othello (verbatim from Shakespeare; Parker's film uses these lines, but the IMDb /quotes/ page does not list them)",
Narcissistic / Disavowal,Projection,13,Whiplash,2014,Damien Chazelle,Terence Fletcher,J. K. Simmons,tt2582802,"(paraphrase) Fletcher insists ""there are no two words in the English language more harmful than 'good job,'"" framing his sadism as the necessary cure for student mediocrity. (Already cited under devaluation; this mechanism reading focuses on projection rather than devaluation.)",
Narcissistic / Disavowal,Projection,14,Blue Velvet,1986,David Lynch,Frank Booth,Dennis Hopper,tt0090756,"(paraphrase) Frank shouts ""you're like me!"" and ""Don't you fucking look at me!"" at Jeffrey during the kidnapping/beating sequence. (No exact line on this exchange is published on the IMDb /quotes/ page.)",
Narcissistic / Disavowal,Projection,15,The Hunt (Jagten),2012,Thomas Vinterberg,,,tt2106476,"(paraphrase) Klara's stepfather Theo and the headmistress repeatedly insist ""children don't lie about these things"" — making Klara's confused fragment carry the weight of every adult's projected dread. (No verbatim line on IMDb /quotes/.)",
Narcissistic / Disavowal,Projection,K1,*The Wailing* / 곡성,2016,,,,,"""그놈은 그냥 미끼를 던진 거고, 자네 딸은 그 미끼를 문 거야. 자네 딸이 뭘 잘못해서 이런 일을 당하는 게 아녀."" / ""He's just fishing. Not even he knows what he'll catch. He just threw out the bait, and your daughter took it."" — 일광 (Il-Gwang)",Korean
Narcissistic / Disavowal,Projection,K2,*Memories of Murder* / 살인의 추억,2003,,박두만 Park Doo-man (Song Kang-ho / 송강호) and 조용구 Cho Yong-koo,Kim Roi-ha / 김뢰하,,"""밥은 먹고 다니냐?"" / ""Do you eat your meals properly?"" — 박두만 (Park Doo-man) to suspect Park Hyun-gyu ; and ""내 눈을 봐. 나는 눈빛만 봐도 다 알아."" / ""Look at my eyes. I can tell everything just from a person's eyes."" — 박두만",Korean
Narcissistic / Disavowal,Projection,K3,*The Chaser* / 추격자,2008,,,,,"""내가 죽였어요."" / ""I killed them."" — 영민 (Young-min) ; and Joong-ho's earlier conviction, ""이 새끼가 우리 애들 팔아먹었어."" / ""This bastard sold off my girls."" — 중호",Korean
Narcissistic / Disavowal,Rationalization,1,A Few Good Men,1992,Rob Reiner,Col. Nathan R. Jessep,Jack Nicholson,tt0104257,"""Son, we live in a world that has walls, and those walls have to be guarded by men with guns... my existence, while grotesque and incomprehensible to you, *saves lives*... I would rather you just said 'thank you' and went on your way."" — Col. Jessep",
Narcissistic / Disavowal,Rationalization,2,The Wolf of Wall Street,2013,Martin Scorsese,Jordan Belfort,Leonardo DiCaprio,tt0993846,"""There's no nobility in poverty. I have been a rich man and I have been a poor man. And I choose rich every fuckin' time."" — Jordan Belfort",
Narcissistic / Disavowal,Rationalization,3,Crimes and Misdemeanors,1989,Woody Allen,Judah Rosenthal,Martin Landau,tt0097123,"""And then one morning, he awakens. The sun is shining, his family is around him and mysteriously, the crisis has lifted... In fact, he prospers. The killing gets attributed to another person... so I mean, what the hell? One more doesn't even matter. Now he's scott-free."" — Judah Rosenthal",
Narcissistic / Disavowal,Rationalization,4,Match Point,2005,Woody Allen,Chris Wilton,Jonathan Rhys Meyers,tt0416320,"""The innocent are sometimes slain to make way for a grander scheme. You were collateral damage."" — Chris Wilton",
Narcissistic / Disavowal,Rationalization,5,Thank You for Smoking,2005,Jason Reitman,Nick Naylor,Aaron Eckhart,tt0427944,"""That's the beauty of argument, if you argue correctly, you're never wrong."" — Nick Naylor",
Narcissistic / Disavowal,Rationalization,6,The Reader,2008,Stephen Daldry,Hanna Schmitz,Kate Winslet,tt0976051,"""We were guards. Our job was to guard the prisoners. We couldn't just let them escape... Well, what would you have done?"" — Hanna Schmitz",
Narcissistic / Disavowal,Rationalization,8,Margin Call,2011,J.C. Chandor,John Tuld,Jeremy Irons,tt1615147,"""It's just money; it's made up... It's all just the same thing over and over; we can't help ourselves. And you and I can't control it, or stop it, or even slow it."" — John Tuld",
Narcissistic / Disavowal,Rationalization,9,The Big Short,2015,Adam McKay,Jared Vennett (Ryan Gosling); Mark Baum,Steve Carell,tt1596363,"""Tell me the difference between stupid and illegal and I'll have my wife's brother arrested."" — Jared Vennett",
Narcissistic / Disavowal,Rationalization,10,A Clockwork Orange,1971,Stanley Kubrick,Alex DeLarge,Malcolm McDowell,tt0066921,"""This would sharpen you up and make you ready for a bit of the old ultra-violence."" — Alex (voiceover)",
Narcissistic / Disavowal,Rationalization,11,Compliance,2012,Craig Zobel,Sandra,Ann Dowd,tt1971352,"""The officer told me to. He said it was police procedure."" — Sandra (paraphrase; based on character's repeated on-camera justifications throughout the film)",
Narcissistic / Disavowal,Rationalization,13,Michael Clayton,2007,Tony Gilroy,Karen Crowder,Tilda Swinton,tt0465538,"""We're a billion-dollar company... we just have to manage the situation."" — Karen Crowder (paraphrase; rehearsed-statement scenes)",
Narcissistic / Disavowal,Rationalization,14,Z,1969,Costa-Gavras,,,tt0065234,"""It was an accident. A drunken driver."" — The General (paraphrase; central plot mechanism of the film)",
Narcissistic / Disavowal,Rationalization,15,Election,1999,Alexander Payne,Jim McAllister (Matthew Broderick); Tracy Flick,Reese Witherspoon,tt0126886,"""None of this would've happened if Mr. McAllister hadn't messed with my campaign... I deserve this."" — Tracy Flick (paraphrase; voiceover composite)",
Image-distorting / Action,Autistic Fantasy,1,Pan's Labyrinth,2006,Guillermo del Toro,Ofelia,Ivana Baquero,tt0457430,"""Last night a fairy visited me."" — Ofelia, to Mercedes",
Image-distorting / Action,Autistic Fantasy,2,Bridge to Terabithia,2007,Gábor Csupó,Jess Aarons,Josh Hutcherson,tt0398808,"""Just close your eyes, but keep your mind wide open."" — Leslie Burke",
Image-distorting / Action,Autistic Fantasy,3,Lars and the Real Girl,2007,Craig Gillespie,Lars Lindstrom,Ryan Gosling,tt0805564,"""She's a missionary."" — Lars Lindstrom (introducing Bianca to his brother Gus) Source (paraphrase confirmed via shooting script discussion): https://www.instagram.com/reel/DLkqq8ZzTWm/ (paraphrase)",
Image-distorting / Action,Autistic Fantasy,4,The Science of Sleep,2006,Michel Gondry,Stéphane Miroux,Gael García Bernal,tt0354899,"""Stéphane TV. Disasters, catastrophes, and meteorological forecasts."" — Stéphane (paraphrase)",
Image-distorting / Action,Autistic Fantasy,5,The Spirit of the Beehive,1973,Víctor Erice,Ana,Ana Torrent,tt0070040,"""Soy Ana."" (""I am Ana."") — Ana, calling out to the spirit",
Image-distorting / Action,Autistic Fantasy,6,Heavenly Creatures,1994,Peter Jackson,Pauline Parker (Melanie Lynskey) and Juliet Hulme,Kate Winslet,tt0110005,"""I'm going to the Fourth World. It's sort of like Heaven, only better, because there aren't any Christians."" — Juliet Hulme",
Image-distorting / Action,Autistic Fantasy,7,Where the Wild Things Are,2009,Spike Jonze,Max,Max Records,tt0386117,"""And Max, the king of all wild things, was lonely and wanted to be where someone loved him best of all."" — Narration",
Image-distorting / Action,Autistic Fantasy,8,Amélie,2001,Jean-Pierre Jeunet,Amélie Poulain,Audrey Tautou,tt0211915,"""You mean she'd rather imagine herself relating to an absent person than build relationships with those around her?"" — Raphaël Poulain (paraphrase / English subtitles)",
Image-distorting / Action,Autistic Fantasy,9,The Secret Life of Walter Mitty,1947,Norman Z. McLeod,Walter Mitty,Danny Kaye,tt0039808,"""Walter is constitutionally incapable of standing up for himself, so he retreats into his fantasy world, where he is heroic, poised, self-assured, and the master of his fate."" — IMDb plot synopsis (describing Mitty)",
